frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0,-0.04315749662263041,-0.03199225791863025,-0.07834080590733455,0.999897599220276,-0.03355921166283765,-0.040345458899225306,-0.10442363050367147,0.999827206134796,-0.029449505465371117,-0.04077129491737913,-0.10449769518205096,0.9998461604118348,-0.02479731866291568,-0.041089061754090384,-0.10455922931432722,0.9998542070388794,-0.04040273172514797,-0.039843105844088844,-0.06379486442144419,0.999804139137268,-0.04104057976177777,-0.0399548892463954,-0.06375651434063913,0.9997892379760742,-0.04227754984583165,-0.0401031447308402,-0.06377615670540496,0.999780774116516,-0.0060851199286328095,-0.03763584366866507,-0.14799147354704992,0.9997166991233826,-0.03295460343360884,-0.037167411616870205,0.0311552445271185,0.9995124340057372,-0.030667082752500185,-0.025994899017470208,-0.08881410802049299,0.9998041987419128,-0.03834844912801472,-0.02552224184785573,-0.036678630368883816,0.999693751335144,0.022471278054373656,-0.007442485008920974,-0.2966125918286188,0.9999598860740662,-0.022471278054373656,0.007442485008920974,0.1939229726791382,0.9992097020149232,0.024117711612156367,0.05394344968455178,-0.40524378844669884,0.9824429750442504,-0.020810706274850044,0.06964782093252497,0.2564562682594572,0.8587325215339661,-0.0210531336920603,0.12027522282941006,-0.3912312167031427,0.9810777306556702,-0.043030248369489654,0.1198997595480511,0.17734924682549075,0.8522573709487915,-0.03127323729651338,0.136981766138758,-0.4306766024657661,0.9655722975730896,-0.0555525507245746,0.13590230047702812,0.19472356523786283,0.8207778334617615,-0.040738722256252025,0.13620612578732638,-0.39839497208595287,0.9662805795669556,-0.05911646570478174,0.13566225043364954,0.14186984194176538,0.8237646818161011,-0.03658630677631913,0.13136960225445893,-0.373339686223439,0.9569518566131592,-0.0548850331987652,0.13050801711423088,0.1531222760677337,0.8131992220878601,0.02171447277069105,0.12098654295717004,-0.16178106580461782,0.9993278980255128,-0.00789101975304729,0.12304091921874483,0.1618309527635574,0.9987930059432985,0.02320217915943701,0.21537184161799328,-0.19864453460488998,0.982021987438202,0.005176120144980478,0.21382213447775156,0.19799206640039163,0.9146949052810668,0.0764477968215942,0.31961628666945907,-0.17890199039663585,0.9775824546813964,0.04462104013987944,0.306616741844586,0.26694912910461416,0.9184752106666564,0.09277573483330881,0.33435091759477364,-0.1773104940141949,0.7580096125602722,0.07458422354289451,0.32507406600884037,0.2718538927180426,0.6770254969596863,0.0011083500725880269,0.3502101144620353,-0.27195599930627,0.9694036245346068,-0.018266407081058977,0.3383043966123037,0.2028728080647332,0.9258265495300292
1,-0.046869529996599324,-0.034333295481545456,-0.08055356991078172,0.9998839497566224,-0.03666251472064441,-0.043266682965414804,-0.09627492731170995,0.9998190999031068,-0.03234707968575601,-0.04384685839925495,-0.09634966318096427,0.9998391270637512,-0.028130806343895975,-0.044330253771373285,-0.09641717225313187,0.9998520016670228,-0.04434466191700526,-0.042191829000200465,-0.060616968625358106,0.9997854828834534,-0.04517897452626923,-0.04204876848629524,-0.06055818945169445,0.999756932258606,-0.04619840724127622,-0.04196847762380318,-0.06051402826394348,0.9997485280036926,-0.008432544129235553,-0.040597437960760985,-0.13403589746781755,0.9997265338897704,-0.03402965068817121,-0.038988472734178714,0.06671981369810437,0.9993999004364014,-0.033563590901238394,-0.027569505998066512,-0.07743815316685607,0.9997864961624146,-0.04291251557213899,-0.026878931692668362,-0.03268525980861986,0.9996180534362792,0.022330925294331117,-0.0083144417830876,-0.2601973005703517,0.9999625086784364,-0.022330925294331117,0.0083144417830876,0.21589268445968626,0.9989698529243468,0.030212764229093247,0.052752516950879846,-0.35445420231137953,0.9840352535247804,-0.01685052173478263,0.06831690413611308,0.27662562855652406,0.7839492559432983,-0.019534505265099478,0.11372751167842315,-0.34716889773096365,0.9826254844665528,-0.04674008573804589,0.11873075621468693,0.1922843524387905,0.7844040989875793,-0.03025776573589878,0.12972734485353749,-0.38266947013991226,0.96806138753891,-0.05651458076068333,0.13387703895568853,0.1982581342969623,0.755723774433136,-0.03841331175395435,0.12852931192943035,-0.36353318095207215,0.9686533212661744,-0.05932742016656056,0.13313397680010125,0.1523943556206567,0.7579558491706848,-0.034918779986245096,0.1237036245209831,-0.333615563596998,0.9597242474555968,-0.055194870914731464,0.12841499022075126,0.16947669088840475,0.7487571239471436,0.01894980072975161,0.11292539494378234,-0.15733976406710495,0.9993010759353638,-0.009428091560091056,0.11717565570558847,0.15725561082363124,0.9985326528549194,0.018708122628075863,0.2102611167090283,-0.2083963658128466,0.9793831706047058,0.003348085709980908,0.20986700398581376,0.16197202163083205,0.8578122854232788,0.07354678511619572,0.3105833581515724,-0.20519149346011017,0.9760061502456664,0.04645938788141524,0.3026773912566048,0.20607884526252734,0.8761123418807983,0.09557525685855339,0.3265115346227377,-0.2068401230233055,0.775840163230896,0.07526057873453418,0.3202405163219996,0.22418429468359258,0.663214385509491,0.00093172703470501,0.33856836897986314,-0.3200514810425894,0.9691982269287108,-0.016615943397794264,0.33060118300574176,0.10455909158502297,0.8980740308761597
2,-0.05011319858687269,-0.03659768572875427,-0.0668684633182627,0.9998672604560852,-0.03962328178542007,-0.04566394814423147,-0.07904701951358994,0.9998040199279784,-0.035249464852469325,-0.046276281986917744,-0.07912570216826019,0.9998270273208618,-0.031276931081499426,-0.04681504581655771,-0.07918842434883112,0.9998458623886108,-0.04733770745141175,-0.04441047353403904,-0.04403547953282077,0.9997639060020448,-0.048170520578112,-0.0441541131053651,-0.04395509846508493,0.9997268915176392,-0.04896581258092614,-0.043969683562006256,-0.04388725922576014,0.9997206926345824,-0.010888393436159438,-0.04301784762314381,-0.11619175268071028,0.9997311234474182,-0.03487602472305307,-0.040927648970058905,0.09458881813500596,0.999276638031006,-0.036672444854463915,-0.029254100578171793,-0.06063984935837125,0.9997699856758118,-0.04635578904833115,-0.02842636917318614,-0.017024563841654728,0.999537706375122,0.022016633408410202,-0.008484430398259801,-0.23797377518245139,0.999964952468872,-0.022016633408410202,0.008484430398259857,0.23964776396751394,0.9987558722496032,0.03428896921021596,0.05174456196171906,-0.32402786186763205,0.9854511022567748,-0.015129756075995315,0.06811587001596187,0.2993270750556672,0.7133532762527466,-0.019592245135988562,0.10864381832735881,-0.32198327609470895,0.9839253425598145,-0.05009963086673197,0.11824695084776193,0.2094702082020895,0.7212868332862854,-0.03093034880501888,0.12472862729004452,-0.35662520612989135,0.9701420664787292,-0.058288672992161394,0.1327826827764511,0.20800396714891697,0.6964997053146362,-0.03873402816908711,0.12333152336733688,-0.3462968707084654,0.9706172347068788,-0.06069239292825973,0.13189068564346862,0.16531513141734253,0.6985298991203308,-0.03566554359027324,0.11854152722018108,-0.31158146517617347,0.9619274735450744,-0.05648755090577268,0.127452135511807,0.1868765264749526,0.6904827356338501,0.018775278329849154,0.10888211940016068,-0.1560181864670344,0.9992928504943848,-0.010931882687977512,0.11430990227631166,0.15586726963520037,0.998343288898468,0.017632635150636844,0.20645727472645892,-0.21464470837797422,0.978636622428894,0.0014743217400141617,0.20720626498971662,0.14162291501249577,0.817796528339386,0.07179277539253226,0.3046423865216118,-0.22102166499410342,0.9764451384544371,0.04532089659145888,0.30012217121464857,0.16708078384399402,0.8516606688499451,0.09754065019743774,0.32158012603010444,-0.22510695414883738,0.7903406620025635,0.07297839352062763,0.31713058820792595,0.1889046651976448,0.6552993059158325,0.002542404617582039,0.3310646333864756,-0.35092915637152516,0.9703840017318726,-0.01610538022858765,0.32615114833627423,0.05100375137158799,0.8851367831230164
3,-0.05202907494136266,-0.03973068765231541,-0.04125471386526306,0.9998744130134584,-0.04168876494680135,-0.04828419174466814,-0.057155896829707196,0.9998158812522888,-0.037386510201862844,-0.04872636113848006,-0.05724014118313781,0.9998376369476318,-0.033387456621442546,-0.04911835959979466,-0.05728040773953703,0.9998562335968018,-0.048448772089821956,-0.047383132151194995,-0.01833621739809003,0.9997783899307252,-0.04905950256756375,-0.047143452508108974,-0.01823545252638196,0.9997425675392152,-0.04968864577157156,-0.04696093031338289,-0.018199627500559607,0.9997376799583436,-0.012592153038297416,-0.045384404488972296,-0.08856521184955315,0.9997535943984984,-0.03491838404110498,-0.04387565936361043,0.10927289107016142,0.9993154406547546,-0.03938999346324373,-0.031948979411806355,-0.043342969087617686,0.9997848868370056,-0.04769327555383951,-0.0310435209955488,0.0053614536707754954,0.9995606541633606,0.022165255035672904,-0.007337668112346096,-0.23751117246491552,0.99996817111969,-0.022165255035672904,0.007337668112346096,0.25815248489379866,0.9988020062446594,0.03741303256579809,0.05105177674974709,-0.32176330259868063,0.9867978692054749,-0.017317164795739304,0.06930116074425835,0.3175525954791476,0.6514676213264465,-0.02187011497361324,0.10461764165333337,-0.32035766158785123,0.98518306016922,-0.053138839347021904,0.11802066394260952,0.2186334682362419,0.6722913980484009,-0.03407671366419113,0.1218814645494733,-0.35731550029345904,0.9722175002098083,-0.060893469197409456,0.13214354515075682,0.21373807149273993,0.6511733531951904,-0.04272420661790033,0.12063851356506344,-0.35030119333948395,0.9725664854049684,-0.0632516154221126,0.13167274168559479,0.16874212282044537,0.6534414291381836,-0.03955986414636886,0.11595644950866696,-0.31164833647864193,0.9640612602233888,-0.05859893901007518,0.12731863260269155,0.1945141038724353,0.6460060477256775,0.02527944956507,0.1095469611031668,-0.15877279596669322,0.9993306398391724,-0.011962693929672197,0.11465835741588043,0.15863862080233426,0.998374879360199,0.022668376139232116,0.20328802721840983,-0.21504967680999196,0.9787455797195436,6.20765345437091e-05,0.20536688566207878,0.14287984882082247,0.784978449344635,0.07221353820392062,0.30161583083016524,-0.21942731610366262,0.9767341017723083,0.040396975619452324,0.2987279415130614,0.15317431645733964,0.8288408517837524,0.0987247458526066,0.31937472649982984,-0.22518952148301247,0.8036671280860901,0.06632979171616682,0.31587260961532576,0.16497135417801984,0.6527549624443054,0.008812305756977556,0.32770917585917864,-0.3597301857812062,0.9712809324264526,-0.0160275314535413,0.325064854962485,0.058711177323545694,0.872329592704773
4,-0.05517325912203108,-0.04010242479188103,0.007032015706811625,0.9998858571052552,-0.04540055223873685,-0.04815808449472703,-0.017391011970383712,0.9998328685760498,-0.04145925215312418,-0.04855018172945291,-0.0174868790166718,0.9998526573181152,-0.03756057705198024,-0.048987242153712696,-0.017511828563042967,0.9998696446418762,-0.050766691991261104,-0.04769303713526046,0.028713064161794477,0.9997987747192384,-0.05100759438105995,-0.047694702659334454,0.028834581268685204,0.9997660517692566,-0.05130833472524371,-0.04775408676692422,0.02883814626506391,0.9997616410255432,-0.01659188866615291,-0.045968695197786624,-0.07193214723042073,0.9997775554656982,-0.03612775036266874,-0.04464931488037116,0.12930241056850966,0.9993795156478882,-0.04349844711167472,-0.032342064380645796,-0.01020656366433413,0.9998052716255188,-0.05011502759797232,-0.031682674373899156,0.049226493601288036,0.9996011257171632,0.020644507237843057,-0.007078732763017959,-0.23165555511202118,0.999971330165863,-0.020644507237843057,0.007078732763017903,0.29595439008304036,0.9988977313041688,0.03561805912426541,0.050189883368355837,-0.32038271938051477,0.9880593419075012,-0.01830508112907414,0.07028190238135201,0.3554700834410529,0.5961014032363892,-0.024239144154957426,0.10296034472329263,-0.3257355076926094,0.9865309596061708,-0.05614189931324548,0.1188390391213553,0.2552207665784017,0.6322381496429443,-0.03695222990853447,0.1214516639709472,-0.36763424362455077,0.9746313095092772,-0.0644611018044608,0.13291378532137177,0.250980057460921,0.6139534115791321,-0.046996674367359714,0.12019720247813626,-0.3631594249180383,0.9749117493629456,-0.0669309462819781,0.1325255070413861,0.20443366361515847,0.6168025135993958,-0.04425575988633296,0.1154748337609427,-0.3183061940329414,0.9668893218040466,-0.06221618396895273,0.128186421734946,0.22991521826812183,0.6097418665885925,0.02418356197220939,0.11205893244062148,-0.16314713997500274,0.9993820190429688,-0.014359534638268667,0.11711119243076862,0.16304242142609174,0.998473584651947,0.023859895127160136,0.20298999377659377,-0.21807875888688208,0.9790233969688416,-0.0028562843799591064,0.20587237051555074,0.14326682090759263,0.7600932717323303,0.07145908134324208,0.3017450877598352,-0.2229562282562255,0.9770420789718628,0.034645966972623565,0.29891426563262924,0.15306610975946694,0.8113054633140564,0.0991441173212868,0.3201794505119322,-0.2290397056511469,0.8168248534202576,0.06038185443196975,0.3155186363628931,0.15714769448552807,0.6567455530166626,0.00941186206681388,0.3291101353509084,-0.3601772129535673,0.9721028208732604,-0.01882254140717643,0.32659770080021433,0.0679109632968902,0.8625954389572144
5,-0.058036427838461746,-0.038891973240034905,0.012772862174148993,0.99989515542984,-0.048683499438421984,-0.046784929292542576,-0.015841598063707316,0.9998468160629272,-0.04502635087285717,-0.047238088931356115,-0.01593553860272674,0.9998650550842284,-0.0412516048976353,-0.04776442519256047,-0.01595110510076786,0.999880850315094,-0.053212836810520636,-0.04646574897425515,0.03290440416229618,0.9998152256011964,-0.05317481671060831,-0.04664432193551743,0.033020301855036155,0.999784767627716,-0.05321279082979469,-0.04687379981790274,0.03299631228936561,0.999780774116516,-0.02032312239919387,-0.04522256553173065,-0.0808581299015453,0.9997985363006592,-0.03758740084511886,-0.04390720767634254,0.1293139481118746,0.9994329214096068,-0.046706428698130964,-0.03134144502026698,-0.008848586465631188,0.9998226761817932,-0.05225141729627325,-0.030672889522143754,0.05367198474705211,0.999634325504303,0.01894440565790456,-0.006619845543588909,-0.24785960401807497,0.9999741315841676,-0.01894440565790445,0.006619845543588909,0.2933141946792601,0.9989789128303528,0.03254582626479019,0.05134666349206646,-0.3387447604111261,0.9891932010650636,-0.015968427487782044,0.07056156609739567,0.3541879406997134,0.5460906624794006,-0.02716679487909579,0.10401584633759081,-0.35002538732119953,0.9877696633338928,-0.056819368260247305,0.11903482888426092,0.2548951830182756,0.5969200730323792,-0.03941945007869174,0.12316682721887312,-0.3955298193863458,0.9768767952919006,-0.06718363676752354,0.13371107961450296,0.249703800678253,0.5809615850448608,-0.050354270424161574,0.12191084495612553,-0.3915831097534722,0.977100908756256,-0.06947543876511708,0.13364378086158196,0.20196399731295434,0.5843223333358765,-0.04776422040803091,0.11689564543110981,-0.34355767539569293,0.9695563912391664,-0.06460963402475622,0.12904714729104722,0.2288861738783971,0.5777010917663574,0.022973221540451116,0.11507454131330758,-0.16466321945190418,0.9994272589683532,-0.015461949791227059,0.11959336187158304,0.16456193029880514,0.9985624551773072,0.023706297363553674,0.2052736065217426,-0.21523769583020877,0.9796173572540284,-0.006109413930347918,0.2080717925514493,0.15053569248744408,0.7443757057189941,0.07044055036136088,0.30564735659531167,-0.21394177249499713,0.977983832359314,0.029797849484852423,0.3012515855687003,0.16582340640681117,0.8034761548042297,0.0975732283932822,0.32480969812188815,-0.22032288866383673,0.8307607769966125,0.055168159518923066,0.3176283414874756,0.16243460433823712,0.6664832234382629,0.005982481581824239,0.33349340004580347,-0.35382786052567605,0.973481059074402,-0.02180773104940137,0.32878088993685567,0.08679215077842972,0.8593275547027588
6,-0.05934714930398116,-0.03751030010836465,0.0044438468558447046,0.9999015927314758,-0.05079714826175141,-0.04552426721368519,-0.024554611848933316,0.9998570084571838,-0.04735829063824237,-0.04596122460705887,-0.024649719681058536,0.9998743534088136,-0.04370709231921599,-0.04651881498949867,-0.024668420106172477,0.9998895525932312,-0.05476785898208608,-0.04542672676699494,0.024673064771507415,0.9998273849487304,-0.05453261222158157,-0.04571784096104753,0.024777351439531334,0.9997979998588562,-0.05433437568800786,-0.046074991992541725,0.024737213458865797,0.9997943639755248,-0.022671772752489328,-0.04431849164622165,-0.09053916973727082,0.999816596508026,-0.03811760033879957,-0.04316104607922683,0.12376687590564989,0.9994738698005676,-0.04811958840915126,-0.03016636329037803,-0.016624391611133268,0.9998368620872498,-0.053291439158575815,-0.02977488509246279,0.04668401974652488,0.999659299850464,0.01773457867758621,-0.006416998164994359,-0.2581623145512171,0.999976634979248,-0.0177345786775861,0.006416998164994414,0.2911300948687961,0.9990395307540894,0.02992767606462754,0.05194171028477812,-0.35357187986373884,0.9902089834213256,-0.0124151315007891,0.07015467754432136,0.35292677538735506,0.499523252248764,-0.02931447369711737,0.1050777133022035,-0.3677195915154047,0.988867163658142,-0.05439454487391876,0.11931386206831252,0.252383917570114,0.5618265867233276,-0.04160344174930025,0.12516764104366307,-0.41476382357733566,0.9788630604743958,-0.06686574901853282,0.13430455114160256,0.24736071910176943,0.5481770038604736,-0.05278517859322679,0.12395968990666528,-0.4119273722171781,0.9790311455726624,-0.07000906552587233,0.13442515007087164,0.1990180781909396,0.5520421862602234,-0.04947969913482664,0.11834242897374292,-0.3618297100067137,0.97186017036438,-0.06495523623057764,0.12961204605443133,0.22602964171341472,0.5460217595100403,0.02292974335806719,0.11728267201355524,-0.16890491928373053,0.9994633793830872,-0.013981970718928705,0.12175396893705637,0.1688028616564613,0.998612940311432,0.02353810412543167,0.20732297088418683,-0.21753027353967924,0.9804636240005492,-0.008328066553388247,0.2099427602120807,0.158820052232061,0.7325549721717834,0.07045058693204609,0.30807438109602236,-0.2105680755206515,0.979039430618286,0.027042416163853278,0.30282127388886027,0.18400598508971064,0.7987426519393921,0.09699597699301576,0.3276875806706291,-0.2169285582644597,0.843248724937439,0.052782080854688385,0.3192228883504866,0.17957782958235047,0.6772193908691406,0.002977274145398834,0.33497863880225576,-0.3535187559468404,0.974829912185669,-0.023727260317121135,0.33005681250776553,0.10472469265971852,0.8575330376625061
7,-0.060944546120507315,-0.0362671626465661,-0.007325618135343706,0.9999047517776488,-0.05267482740538454,-0.04448357607637132,-0.035834956594875796,0.999862790107727,-0.04930723990712843,-0.0448822868721826,-0.035930039627211384,0.9998800158500672,-0.04559154680797023,-0.045424352799143086,-0.03595533445477479,0.9998952746391296,-0.056498593943459574,-0.044443809560366976,0.012848046209130897,0.99983412027359,-0.056146824359893766,-0.04473555896963388,0.012951334831970059,0.999804675579071,-0.0557137923581259,-0.045103571670395914,0.012905230373144064,0.999801516532898,-0.024252212047576882,-0.04342002996376576,-0.101678120451314,0.9998314380645752,-0.03836106232234404,-0.042387413552829156,0.11487682035991113,0.9995009899139404,-0.04933426380157463,-0.028946750078882477,-0.02651151674134387,0.9998472332954408,-0.05437473995344977,-0.02852811174733294,0.03621732656444814,0.9996740818023682,0.01646058218819757,-0.006121503881045709,-0.2670706208263123,0.9999788999557496,-0.01646058218819746,0.0061215038810457645,0.28562094313757747,0.999084770679474,0.02876801831381659,0.05257416921002522,-0.36175056866237076,0.9911001324653624,-0.006385815143585161,0.07027569796357835,0.34832832387515456,0.4565441608428955,-0.02983304602759218,0.10698560263429369,-0.3739482070718491,0.9898039698600768,-0.047815083605902475,0.12129860392638614,0.2500486829451151,0.5264955759048462,-0.04238414253507333,0.1275166098560605,-0.42109864779881045,0.9805354475975036,-0.06229699339185435,0.13629000655242374,0.24609706103801707,0.5150893330574036,-0.05313952054296217,0.12622306985514498,-0.4175335986273627,0.9806421995162964,-0.06704251936503808,0.13664586501462117,0.19780889749526967,0.5193081498146057,-0.04922084552901129,0.1202860027551651,-0.36778850214821934,0.9736821055412292,-0.06125019022396622,0.13168170068945195,0.22378730305603556,0.5139641761779785,0.023620431763785255,0.11914771752698072,-0.1706004121473856,0.9994913339614868,-0.010590708255767689,0.12374042400291985,0.17050368956157133,0.9986427426338196,0.024255314895084923,0.2094735158341271,-0.2171979836055209,0.9811348915100098,-0.009444546699523881,0.21192167273589535,0.1627661168575286,0.7217308878898621,0.07056336913790029,0.3107258349657057,-0.20819596861089965,0.979996383190155,0.0258497153009688,0.30530195193631293,0.1945354738405771,0.7949293851852417,0.09675261293138782,0.33030793453965857,-0.2146560609340666,0.8544002175331116,0.05201622758592883,0.3218440494367053,0.19061131221907465,0.6866104006767273,0.001244074957711394,0.33519172285284304,-0.35445840358734115,0.9760480523109436,-0.024865162372589067,0.33202720327036706,0.11322528805051521,0.8562804460525513
8,-0.06208036967686248,-0.03517487559999738,-0.00881138018199369,0.999906361103058,-0.05409267033849452,-0.04343251841408868,-0.037441640081150106,0.9998660087585448,-0.050832647936684794,-0.04386800527572632,-0.03753386022789133,0.999883472919464,-0.0470905312470028,-0.04447595477104188,-0.03756414407065931,0.9998992681503296,-0.05783299207687381,-0.043397270781653285,0.011292293561356347,0.9998379945755004,-0.05741365296500078,-0.043731009108679664,0.011399340070784048,0.9998072385787964,-0.05681474804878239,-0.04416620390755788,0.011347886028566463,0.9998043179512024,-0.025284800359181014,-0.04280785151890354,-0.10611544102430337,0.9998441934585572,-0.038497859239578325,-0.04186991708619253,0.1125948993223053,0.9995171427726746,-0.05022234916687013,-0.027961935315813313,-0.028184906286852645,0.999855637550354,-0.05514094574110856,-0.027541555677141505,0.03469146202717501,0.999683916568756,0.01521252989768973,-0.0057111237730299025,-0.2697512064661297,0.999980926513672,-0.015212529897689842,0.005711123773029847,0.2860215434006281,0.9991095662117004,0.028592864956174524,0.05351123639515465,-0.3610884053366523,0.9919169545173644,-0.0012945933001382581,0.06987492697579512,0.3469700430120739,0.4168189167976379,-0.02894241554396504,0.1089875221252441,-0.36737270099776115,0.9906654357910156,-0.03878463421549122,0.12279496533530088,0.25279743841716207,0.4898056089878082,-0.04133891889027197,0.12937689679009567,-0.4140704299722397,0.9820762276649476,-0.05420493142945432,0.13774781056812824,0.2505995605673107,0.4806165099143982,-0.05182799952370787,0.12781045947756076,-0.40953073757035374,0.9821335077285768,-0.058897710697991545,0.13801558528627655,0.20311889903885966,0.4849216938018799,-0.04800431132316596,0.12196384838649199,-0.3607662609645297,0.9754101037979126,-0.053493450369153706,0.13294020380292604,0.2270014290298733,0.4802607297897339,0.025042020423071687,0.12003519535064688,-0.17162770543779632,0.9995098114013672,-0.00692112020083846,0.12465451104300351,0.17153093261378144,0.9986394047737122,0.025221163034438998,0.2112626075744628,-0.21390587730067104,0.9815506935119628,-0.009412039177758458,0.21364772830690637,0.1637059999363762,0.7041400074958801,0.07103503346443163,0.31330878904887594,-0.20076698746000007,0.9804515838623048,0.025690690960202822,0.3072051814624239,0.19937556045395974,0.7853111028671265,0.09679012724331437,0.3325654438563753,-0.2066447888101849,0.8633824586868286,0.05166997143200458,0.3240665163312637,0.19599359120641427,0.6906924247741699,5.5119821003479785e-05,0.33679592268807534,-0.349712607690266,0.976673185825348,-0.025824530635561338,0.3338640144893099,0.11663682162761681,0.8502086997032166
9,-0.06309139302798672,-0.0347223260572978,-0.009056698404518558,0.9999091029167176,-0.05516515629632124,-0.04301872806889667,-0.03706782034465242,0.999871015548706,-0.05188535111291065,-0.04346802277224404,-0.03715553145323477,0.999888241291046,-0.04814465216227931,-0.0440766313246318,-0.037186719157866,0.9999040961265564,-0.05888524821826385,-0.04297735989093776,0.011170964994068631,0.9998437762260436,-0.05845029609543928,-0.04330339133739469,0.01128034921629083,0.9998128414154052,-0.057809034415653715,-0.043741380742617963,0.011228775685386924,0.9998102188110352,-0.02640802604811532,-0.04242541491985319,-0.1082527271338871,0.9998562932014464,-0.03906485097748891,-0.04156097301415029,0.11264547641788203,0.9995383620262146,-0.05118619799613944,-0.027551504969596796,-0.028058620808379925,0.9998641610145568,-0.05607293418475551,-0.027155175805091858,0.03392805435827793,0.9996963739395142,0.013446531125477446,-0.005491722907338792,-0.2723134619849067,0.9999827146530152,-0.013446531125477335,0.005491722907338847,0.2849193419728958,0.9991295337677002,0.02851101074899942,0.05473030507564547,-0.3594679040568214,0.9926427006721495,0.004068368673324607,0.06997581933225905,0.34433417235101954,0.3802063167095184,-0.02831073573657439,0.11096560997622351,-0.3593454948493411,0.9913987517356871,-0.03057453632354734,0.12385977378913327,0.25239429771900157,0.4524437189102173,-0.04064649854387553,0.13080349692276538,-0.40565756729670915,0.9833663702011108,-0.04640242797987798,0.13896139391830986,0.25126730161053773,0.445486307144165,-0.05074112500463207,0.1290881484746933,-0.3996803649834222,0.9833677411079408,-0.05085062469754892,0.13907991349697113,0.20421009446893412,0.4497026205062866,-0.047036596706935274,0.12357190889971592,-0.35212011337280247,0.9767747521400452,-0.04493041549410132,0.13402506155627114,0.22700722558157774,0.4458394348621368,0.025238347905022773,0.12085039658205843,-0.17154724853379374,0.9995235800743104,-0.004071016822542406,0.12524994654314858,0.1714492576462881,0.9986225962638856,0.02517394082886837,0.21278663235051287,-0.20595242977142322,0.9820435047149658,-0.009229502507618448,0.21508267649582447,0.16342607395989542,0.6889960169792175,0.07049002562250406,0.3150687988315308,-0.18701530226639326,0.9808705449104308,0.02529746719769077,0.3076721655470983,0.200431779026985,0.7760432958602905,0.09568348356655665,0.33401605444295057,-0.19225176147052206,0.8720535039901733,0.0508439004421235,0.32534998697893946,0.1971862567322594,0.6938750743865967,-0.002168824842997963,0.3377448716333933,-0.33332652109009864,0.977112114429474,-0.028098740747996676,0.3346404965434754,0.11663258203438343,0.8434532880783081
