frame,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_wrist_dist
0,173.33511588375055,170.14248288590701,164.16980455595373,162.15456313014025,0.13646366980528105
1,164.63957780115456,164.4724654711179,151.58127463945831,157.9660084815389,0.13514348927814565
2,159.54684185011251,160.1790532354886,144.3454562945072,154.41618370450576,0.1331017841110349
3,158.8065688167496,157.02605482107796,147.49217681494625,148.93513249201885,0.12811933835868253
4,158.57546986610427,156.2999919089589,146.2600520075843,147.85766406810575,0.12690943600911767
5,158.84489191745783,157.37674586530605,144.02938140666058,146.52529611703352,0.12847236539554008
6,158.84921197994913,158.25332271006585,140.29477933165452,146.31798641887355,0.12960015608137188
7,159.07895116308825,159.75694447674974,137.79121779507952,144.8974592915148,0.12942280037878565
8,159.39152205097528,160.05575929497158,136.55740513195616,144.6381852733732,0.1284303217405125
9,159.8404597003241,160.17213385486983,135.50825923709095,143.96896059305078,0.12816624272927357
10,159.9445418641859,160.1605232794567,134.06980461094028,143.44756586479104,0.12803768215246228
11,159.75021736204712,160.48538806022285,132.49560661012603,142.99325340035128,0.12786012682659023
12,159.50127536574198,160.81465311329688,131.54936111867514,142.39006875882066,0.12794236877700652
13,159.60770482603212,161.05223410161855,130.98930952830548,141.5929248603321,0.1277306285211837
14,159.70510427262644,161.05268576329516,130.53443041347998,140.81354269755698,0.12782525664554428
15,159.68808024951102,160.87411467251903,130.1389591962134,140.5547187281688,0.12817019026763013
16,159.60934979186285,160.61391594864034,129.88922663016078,140.71976573410964,0.1285660157386376
17,159.53311876195747,160.4443255565934,129.86537127345656,141.125926704805,0.12885147944945316
18,159.43726698840112,160.37808440873349,129.93262227125365,140.96526286695584,0.1290265682522452
19,159.37760667838347,160.3999636423338,129.96568554709364,140.60010859160252,0.12910330448397467
20,159.12112205577534,160.55304588549762,130.02020258312848,139.74530765405524,0.12914509661653906
21,158.67486947687806,160.66786474798803,130.13274306062831,138.90657651724575,0.12918253996389217
22,158.03433336291116,159.50789119977526,130.28544857436057,138.23232360612957,0.1291667844140155
23,157.17139828492913,156.0685277061801,130.5808207818802,138.23817665610306,0.12901501345184607
24,156.09410706547527,151.82834358266823,131.04660551891973,138.72714524866987,0.12884162130564394
25,154.92535851830544,147.38365941399996,131.59858917600985,139.37645842515016,0.12876779075569703
26,154.04105478496496,143.80843131407502,132.35143536375125,140.05650174755013,0.12876027495957898
27,153.52192267559778,141.82522611748632,133.07471732027668,140.43767053943128,0.12812713805043904
28,153.51379183272837,141.09420957508593,134.1435465748333,143.04533567695998,0.1267904290921197
29,153.86071478921,141.57658428108263,135.00843476488077,145.63109729309784,0.12484575332351737
30,154.1447025672077,143.16482055964528,136.12885650498757,146.52032062435353,0.1231405462730662
31,154.30815553771188,145.89427758857616,137.11096790896158,145.73237226197378,0.1218957046830216
32,154.59109939523324,148.4912959184663,137.98918349879665,146.11879159421716,0.12107315554620049
33,155.88592745648845,151.40970530048574,137.69855930795018,145.7815543972236,0.12080231030996468
34,157.37028386301395,154.88982729625275,136.94788859731523,147.69945801244927,0.12115669408360202
35,158.2196423058426,159.22460163579692,136.01418200862358,150.8085801060178,0.12212634503421192
36,158.18265149447987,163.5233564609798,135.84742942436907,152.93972572437858,0.1227513335509457
37,158.13227318224293,166.49321660446685,136.25986882298943,152.30136363690895,0.12336186127236859
38,158.06906208499092,167.30963186743412,137.15469708996127,151.6080766194195,0.12327019713897767
39,158.00764402277886,166.78303143582838,139.11459461889802,151.96189738135828,0.12321310291157965
40,158.24037526186166,166.25147232408023,139.8552007125688,147.21708523978106,0.12340673344234014
