frame,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_wrist_dist
0,179.10585330368457,179.22445225570817,160.10599139268982,93.8662988536373,0.07807376476834878
1,170.687882560528,177.7845280536685,170.24684667707336,145.3156985158375,0.1018313161183984
2,166.51998574276402,176.8761331500513,158.99382929916547,178.30945990142092,0.11522091325398794
3,169.21467638993028,178.31291258830373,160.226000053143,171.26840054415038,0.11300524821313795
4,169.98699749084088,179.68341127948128,160.2315253104909,171.428031350513,0.11223869230918376
5,171.1104756630564,177.035102506208,159.76400993237195,170.0745331157921,0.11080499410765776
6,169.97865779293807,175.73067490769486,159.53495318667848,171.1407197609378,0.11033688303523984
7,169.9622141324709,176.2834184890683,157.05284655004687,173.09038988675465,0.11036986382702131
8,171.09698800354363,177.4611149366286,155.7883415366983,174.6428505176121,0.11024045334705142
9,171.3880893601072,177.61054587302536,156.03969940922897,174.32249743919212,0.11017481988510194
10,170.64228060462486,177.6269092938221,156.0232176203725,173.17468846583796,0.1099130753728071
11,170.07107439745735,177.39037351186576,156.36801311728004,174.67176826259188,0.10971468924720382
12,170.0714055670262,177.49172998927503,157.27762530010764,177.9152990358328,0.10957986711180479
13,170.1722948208964,177.68461330694566,157.8097471547514,179.4362727514099,0.10947315090262037
14,170.24721526303722,177.6269632879658,157.84914860046655,178.52558142691603,0.10924222928112598
15,169.86855141758735,177.24013122395252,157.835981334298,179.82738683839654,0.10905353552216612
16,169.42747976244806,177.19656035345872,157.94775982601087,179.81649240998297,0.10897624786602886
17,169.1339870468315,177.6452684880905,158.15970284013002,172.20125847696966,0.10884445367320451
18,169.0560511515519,178.27516797184416,159.0494305682992,163.1677117777686,0.10857156713340096
19,169.2820219075968,178.67673603371577,160.51506951824544,159.08183684847697,0.10846994896436132
20,169.86877858237202,178.91048976161827,161.2855149315528,159.4954636488024,0.10887116896687195
21,170.47981865341245,178.91725745479837,161.09092499150242,160.57922375786515,0.10938442928719397
22,170.82499260752408,178.87911282187196,161.20563712739357,161.39838350868914,0.10972217730337212
23,171.01764134233693,178.90099074958928,161.92632246450026,161.52550753481023,0.10981141585176585
24,171.24546513076345,178.9324165213957,162.68887523788854,161.8488955253538,0.10991308521893693
25,171.53790963676707,178.9591539213907,163.36620763001136,162.6244372472185,0.11013180213493551
26,171.81797813992924,178.9495429849083,163.92938728519724,163.94918659176517,0.1104790606709316
