frame,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_wrist_dist
0,160.34584617720458,123.25496840537397,175.92124443007708,176.34436828890244,0.11595903021563934
2,161.20137940721142,151.0325710523357,147.59552036232665,153.26569623753497,0.11011607552033864
3,162.718388502276,161.42890650158532,148.0699602637133,142.14735949304136,0.13509918741910185
4,161.07095618086112,156.28312837306822,146.18643573882318,144.37303811073642,0.127243517081327
5,160.53402362269554,155.9426823734462,145.19921705233128,144.56831899420862,0.1270690469879859
6,160.02750588198023,155.83587432092162,144.42945494598055,144.5272219577494,0.12682221108679986
7,159.76338964950568,155.774421755728,144.22076853711658,144.64302915362975,0.12652869349360304
8,159.63744809836604,155.7230812598516,144.4587768246981,144.92864524533115,0.12635836636922737
9,159.67965496628813,155.60360065715625,144.8456841562927,145.27063030215336,0.1261823491619989
10,159.754236295223,155.491407078076,145.16131176299402,145.49943685284222,0.12597808452568504
11,159.7028313984433,155.42813010073024,145.4334067609029,145.606535278218,0.12579937636049315
12,159.63643671112746,155.37511568952658,145.6673495842392,145.5602825765268,0.12571707235210172
13,159.68774272609275,155.19721706346127,145.79655966312708,145.40580064854427,0.12563703809636537
14,159.82713207087136,154.9645744546348,145.81954440153748,145.0743548227879,0.12558409096264717
15,159.85005067066152,154.67233235402088,145.8964663281276,144.80531466884517,0.1256361982648422
16,159.8330454637983,154.31817342165073,146.07921969209443,144.76110836990813,0.1257318679685739
17,159.81351374147977,153.9429494466879,146.3216598408797,144.81776273457658,0.12576864827357917
18,159.81819609500536,153.71259547373123,146.55763654299707,144.74870267568454,0.12578042121850355
19,159.8386077528325,153.5101811420314,146.84615855043015,144.4991874446266,0.1258359106215477
20,159.9374075122585,153.32512199553526,147.1870190749381,144.22467159719048,0.12587045753810785
21,160.12982166330931,153.05608989584925,147.456253590389,143.97999021082526,0.12578954809196646
22,160.33661551085748,152.8089113509757,147.3450067133674,143.84878289537008,0.12565038059223016
23,160.52170750796327,152.63722187795196,147.19537653269572,143.77900790542566,0.1254426449569743
24,160.67241190909706,152.5764897458415,147.62465639234264,143.70246205495937,0.1252930252138879
25,160.91744369667563,152.53329659133695,148.88646295493618,143.5439127269929,0.12510942429506383
26,161.26572512249578,152.57314735774506,150.72420337746442,143.68919564665765,0.12498452040653893
27,161.54007963047226,152.58192154662262,152.3524580628663,144.4710775250456,0.12510747421220875
28,161.5011686653355,152.532812987017,152.94257133231932,145.38272913781492,0.125130428420102
29,161.30212779609064,152.444069115124,152.2782196242414,143.81325107581011,0.12467338336069601
30,160.625961312119,152.44323760998,150.9110629761224,141.6272699321348,0.12392756737433716
31,159.56011624440586,152.51591572607535,149.8732326762579,140.45072194553018,0.12340844107608936
32,157.12726658561115,151.10690200192187,149.4751582601687,140.66252494457683,0.12272332035274347
33,153.7855892280979,147.31815503773146,149.53832361514603,140.38686094548066,0.12119226717800657
34,148.1869652102716,142.11127205990348,149.56679655350356,142.39068993354883,0.11900038156496118
35,139.23709553817116,138.95509340496997,149.8042785997227,145.80103946271916,0.11701094789676222
36,128.63400401734867,139.73252490858192,149.55683601780302,148.55054606269795,0.11544403928014775
37,119.00814962838436,142.46171398910295,148.9545643523392,151.3772627716366,0.11393321932493061
38,113.36954567296493,145.5825503915536,148.1649746298505,154.63826649754168,0.11243489627113132
39,112.79488597571132,148.66739905144294,147.9472329966754,157.18337762549913,0.11140530525623128
40,117.52026100362615,152.75146694554806,148.50408795872164,153.7215005566942,0.11089397556133634
41,124.46839800786599,156.2363132861799,150.4893518528582,151.9816029765244,0.11069249690947723
42,135.00425823388755,158.32007359131543,151.59770207907516,153.1077574543153,0.11075064886489183
43,147.22847735307914,160.2722978177006,151.14680010696415,157.6503645995479,0.11084285966290529
44,159.34039474156455,163.10784281876877,150.11887709173521,159.86335892459957,0.11070322811409525
45,167.65258404737907,166.49363234630755,151.3503328529293,161.96883650788803,0.11020456600096576
46,172.66932203237175,169.5265535141364,151.70523769397752,161.86595773921076,0.1095364596586858
47,174.72468626983743,172.10388754660013,150.66630288951683,162.84688556799597,0.10971370464636877
48,175.7016003340544,171.4995056058929,150.1681620408777,163.3446592273674,0.11063753501383604
49,175.14388781382524,168.93055977146736,151.0708547995995,162.2220573652845,0.11141424865936869
50,172.1923388899578,166.77538234580854,151.67580302696416,159.69671075347168,0.11179509685480878
51,167.88050852128947,163.55586230000614,153.67498003576915,160.23992345732276,0.11214670633409883
52,162.80673036203274,160.4194805561171,154.92900448538728,159.69899669202994,0.11248171100930096
53,158.29998797863428,158.52030582230455,154.97521170164765,155.51493608461752,0.11297147429420835
