frame,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_wrist_dist
0,170.30955103870545,179.73408521198203,169.5191420201589,167.74775821809553,0.11732948595539439
1,163.1241594157355,163.45964473016258,154.35915311091912,153.57779013847482,0.13064102493060564
2,158.71428850696802,154.94140587009363,146.23728694023305,147.16095891587082,0.13699749888262744
3,157.6482784144996,156.04501199691643,145.22315848941525,147.45469832644454,0.12988950777308245
4,156.32780067446444,156.92566540111451,140.11262293709638,146.21298021898053,0.1278609288497989
5,155.3571848890111,157.76647845760917,136.762844547078,142.50313987577573,0.12862072981600123
6,155.20563957722234,157.89846695392757,135.4989639546493,141.55127587330702,0.1296412757536421
7,154.9247555342269,159.23086286394616,135.5092718555617,142.4581342530923,0.1294794875452443
8,155.3850258175293,159.09350415818048,133.82198309175504,143.3800459782586,0.12826982425051298
9,155.51086145796287,159.02886047291,133.2437685089866,141.60685689469443,0.12712960314649754
10,155.06612942107466,159.17621144455796,133.31394137867434,142.42334110858286,0.12629278243056213
11,154.2544263278057,159.53065794602696,134.3351904622937,144.38864928924,0.12612074694222025
12,154.30594286229888,159.55921782803853,134.5311601219096,143.88849477047276,0.12581820042776745
13,154.4923788594813,159.27048969914128,134.59122645106316,142.9256247092233,0.1255806140326131
14,154.42892748501822,159.21279015047315,135.44068414595557,143.01695447554079,0.1255041984522356
15,154.21484910373522,159.85705490432002,137.04680290229123,144.29596193116632,0.12602007951638894
16,153.60961379041277,160.9105052009718,137.6815506762673,144.46722667728704,0.1264087209540571
17,152.74516180691643,161.7720462337865,136.99985431555143,144.25595146357855,0.12675373050513247
18,152.16990252497013,161.75879965978774,136.7667888290736,144.37234806111118,0.1267490682498094
19,152.41503263649207,161.1687898470856,136.52010158365198,145.15425803026005,0.12666092734320342
20,153.0374461566636,160.55124280465174,136.5695859030428,144.9929785980137,0.1261489013226697
21,153.9374374275169,160.2942496815247,136.02746133585865,143.2739361406844,0.1256449495003453
22,154.96181806068589,160.29491472407184,136.1090252648551,142.18187027591523,0.12493793591333278
23,156.34986138591597,160.16426927159426,136.61390411556295,143.50369142509143,0.12404293324193663
24,157.68450912686302,159.58626479829923,137.80437890400876,144.88205637306785,0.12330296580150694
25,158.61653593186932,158.6028464621908,137.81320031182335,145.12367065061468,0.1225974404446329
26,158.3376284029547,156.9895850632643,137.57907991834247,143.5568163946615,0.12177883913188836
27,155.37236384712628,154.84628040102538,137.63887065809433,141.1826173598773,0.12054135749449243
28,149.33543593853875,149.93737593311715,137.9842544718923,138.11847430742523,0.11896893847815497
29,141.59259644470274,144.5373824040513,138.23574472211615,137.11573060015763,0.11710080796315787
30,134.3315822794699,139.25148058197286,138.50868428204672,138.04927977854788,0.11532083632353174
31,124.19367016837832,138.04437623827042,138.1442789256214,139.22436012174992,0.11369167969583095
32,115.17693193158355,140.7156108739003,137.42666757304008,144.040622536772,0.11228881636134667
33,108.8564894718651,147.19148265865843,138.07740870556722,151.0824229325125,0.1110201234226895
34,108.62311307392618,151.67700729700712,139.89809058436094,157.03910586075133,0.11004713026843775
35,110.4049276079534,154.47956831798396,142.42280482107637,159.12308771022316,0.10915915410112315
36,117.99363709132503,156.20935072265243,145.12109391705394,162.93685696188282,0.10907393101467365
37,128.30002627923062,157.06503396301952,146.6112549146806,164.90181663293794,0.1093658125227444
38,141.04802635786416,156.50645046162313,147.76659071049735,164.33989572861702,0.10985028658512028
39,153.33138577493148,157.61845738515748,147.46111031774637,162.27737480331888,0.11003234863651483
40,163.50986279989837,160.9483026618138,145.69978508922503,159.81741972536835,0.11011505164992182
41,170.08764708517643,164.11475259945422,142.5851904630915,158.36750274842345,0.11036936143886765
42,172.39611886940102,165.11663051247453,142.15592824047084,160.10902618267195,0.11079109940129724
43,172.4102615726773,163.23376095510167,143.79322392700877,163.37478586027729,0.11151216669335198
44,170.31447472811863,160.44694071285136,145.5794234131762,164.7491607289816,0.11224518693617193
45,168.31082718581746,159.35047111942492,145.56922986780216,163.2278116011251,0.11335457942879015
46,164.823653696142,158.7747015334362,143.9700636861603,162.88862545985816,0.11470429274317695
47,159.57066303478385,157.08811578593995,144.0820830151569,164.89206914101064,0.11635680648805946
48,153.84730703590435,154.52212081223556,146.65504475165667,160.62903148273523,0.1174411184991833
49,148.21181848395628,150.45203026024726,149.05275768858698,152.04598611539845,0.1179724036967567
50,145.19268522304066,145.583483008988,151.22799253152866,153.96163926022814,0.11821251247537928
51,144.29483276973374,139.040444082554,152.65081686525468,160.90464908093222,0.11849951747930614
52,148.21196981623171,131.05551355418459,154.63594817905,162.66384372587453,0.11983949608063196
53,152.43837632890526,120.98490930490358,153.95521741952143,157.81791949161692,0.12107521708789369
54,156.77275883705875,114.51267073855655,152.52116591416225,159.5586137391965,0.12262022798825052
55,157.55230809199273,111.10834007976551,151.13403110791896,164.2625234548182,0.12434345213240619
56,156.80783643613356,113.58003971508573,153.24625378172686,163.90199960571093,0.1264925040159217
57,156.4027089171565,120.41198592264044,153.870758495271,157.94448528120623,0.12774728056671256
58,157.1991965012308,126.72690616940022,152.00641479488968,154.5614332808854,0.12911786387762725
59,161.16192856935245,131.80277905007915,148.3666654308642,148.15398191347083,0.1295802589633664
60,164.47030280726003,136.8210041997661,147.8639199393196,141.11749871135757,0.1309853928433453
61,166.70192458868087,144.34837234228843,149.52019127886888,143.18734741614207,0.13338225433199863
62,165.86877208052152,153.53457895256855,151.91527431448338,147.941870473427,0.1348721556640561
63,166.55990060063513,169.03968831035894,153.42898883085678,154.59108832361488,0.13426816991926696
64,168.12522840379,175.47707092171314,153.74741996644178,160.24381706836905,0.13214792213368326
65,169.88656192329626,167.06623450959992,155.51054235206848,158.92583334058136,0.1292800027425007
66,168.56297618997195,165.88737286807034,157.45976434734388,154.28548872436653,0.1255853663285927
67,169.52818498543488,169.6167338419212,159.28305723673475,156.2008620034324,0.12229297228710971
68,167.92328937587598,173.81757206396404,161.5412990035635,159.19618650155192,0.1204663619817974
69,164.71686785749958,178.17537083696322,164.0543058796763,154.1640774026967,0.1195712316537806
70,157.4960218489282,178.65851875977606,166.146038286753,150.49372714224072,0.11953252987438875
71,150.02033009889212,173.9865860460826,166.3128613936697,150.01004483180012,0.11844418116232215
72,139.82425246141645,169.72719928957204,165.734518613196,152.2541374584593,0.11702633751269231
73,129.86256551410165,165.64868721524152,163.67991767459307,154.18842643944956,0.11580563397779949
74,120.29627682700061,164.2044407052075,162.88025144777328,156.3123755379139,0.11534554219832002
75,111.79198679164557,162.6295377661923,163.97493592149965,162.35584379231307,0.11456460400030793
76,106.70024791252143,160.05550587543195,165.9971917389672,161.51010967938888,0.11359091030379131
77,103.71660214430747,156.4592078036258,165.30363796878336,150.9606848643038,0.11369698990965814
78,100.99330009389828,154.10060483624545,160.41781015862458,150.92031724444135,0.11439465353061311
79,100.0996245799655,154.70569301826495,153.0677150592721,150.74014609105498,0.11536158411641094
80,104.17115225896582,157.5698274867903,148.5095965507948,142.55790448111173,0.11478393589491903
81,113.05526311753488,160.69174595006973,147.5435848783965,133.25415423163128,0.11385576423751176
82,122.3788612043827,164.10506489007645,149.31628369634325,131.40907393176,0.113066551314444
83,133.0189526379453,168.1978152785711,150.75551551925096,132.47641935453655,0.11289277325235564
84,143.84964489644014,171.45104659987834,151.68667164625677,134.08549333769727,0.11182355047290658
85,154.87258893556213,173.41836130677515,151.62640986217176,135.80532007547617,0.11027678328223355
86,162.48562789695,175.57705815053086,149.41691790383805,134.48234212648433,0.10956319164610318
87,165.91601508479368,177.49205803140433,147.55925559904176,133.97398695064777,0.11053309013155059
88,164.82861475685695,177.57425244791128,148.11273655396235,131.50882816326418,0.11287001813807164
