frame,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_wrist_dist
0,158.85019519787525,171.25478265449541,141.41429875712763,148.45553697246817,0.14670996239576967
1,159.5256920514179,174.2463481727112,136.4804470389105,143.81928642473304,0.13627833832726952
2,160.04246142207955,166.10663632164415,133.41423751805326,140.01489231521597,0.12928626928330497
3,160.21462866891994,166.25446414481473,132.8754655742757,137.74836654134504,0.1257794529816435
4,160.01500743918183,165.75384812155627,134.05530138139932,137.2712426905167,0.12675251722123868
5,159.6318654054949,166.36492794241124,136.42942508539372,140.8359878508375,0.1275294682523066
6,158.4987423571276,166.71998504696268,137.59279645109365,145.2153117346828,0.12819652842733953
7,158.34935739001622,166.55213027764944,137.09880295735448,144.95255057819065,0.12845831122975634
8,158.90166386347346,165.59255314362343,134.91526314409455,142.11712176327336,0.12882839822125391
9,159.81292169797447,165.09646990698104,131.8380361184453,139.91871592061048,0.12920059561432193
10,161.05694942969814,167.64452564864828,129.5527348775725,140.03773275099127,0.12998322114691083
11,162.54605110344033,171.36791275662884,128.23994591342677,140.71696573026543,0.13084385305938467
12,164.00788415995015,174.21158311611367,128.07111221845733,140.962987896534,0.13121826879130866
13,164.44388678400912,175.85749051549,128.80908595924907,141.34214422632536,0.1315466107566122
14,164.4785131673587,176.83095918529307,130.05532694470836,141.16187812444923,0.1317173177423803
15,164.60421913631106,177.3246021922391,131.3697744873569,140.96461267666118,0.13148984328610058
16,164.80515110684914,177.19014688381822,132.34053573919982,141.16165662720266,0.13080848243877907
17,164.79069714721052,176.96835180043382,132.48868418975417,141.41608525175624,0.1302181419580984
18,164.2436120784805,176.5623291513244,132.17879370279255,141.37999027038103,0.12968216408458855
19,163.41759781723567,176.0266698880666,131.84556064822243,141.65990968300963,0.12936683222368525
20,163.10891507407584,175.5368465082668,131.7364090037087,142.06160076627512,0.12918044581106786
21,163.65911439538274,175.27742313160863,131.67798440125347,142.40065650460232,0.12912386959643443
22,165.28019778591658,175.2150962594126,131.68158387493938,141.81958019082876,0.12898257565102525
23,167.1910424462906,175.20562215810668,131.79290328835097,140.78839298243614,0.12879079961550322
24,168.93772514659497,175.20772459464465,132.48186932577718,139.9258431837951,0.12818289855885234
25,169.93023825467168,175.17904876432013,133.79932625827828,140.0583854261859,0.1271839467408162
26,170.50308491524953,175.15305241035932,135.3056518157929,140.70868540084263,0.12625297848258835
27,170.5441603996149,175.19650456185292,136.52170311045865,141.33483259847563,0.1259830944983399
28,170.30931690113,175.03064354772883,136.7731040237038,141.3649666020475,0.12627633466783988
29,169.90587251358374,174.61420338134766,136.58404043045138,140.68797511639173,0.12654835570977835
30,169.37839336847978,174.12044034565034,136.37395385403647,139.88057152124313,0.12651227970539777
31,168.57144836984202,173.7124662386305,136.41164901254086,138.6602869380066,0.1262725416784375
32,167.62658605730982,173.40505505003225,135.80309067158555,136.4624623715054,0.126092608595581
33,166.7625198161259,173.32993844644864,134.92071973632352,134.70096329347464,0.12613393829058087
34,165.6786280719876,173.1475274804789,134.00833982674268,134.40211767811098,0.12635030931788838
35,164.32680083156308,171.99726909235147,133.46538845889248,135.03668733629846,0.1265716874860327
36,162.73012820148926,169.8979553145768,133.5802004061197,135.24489697412292,0.12679539393409228
37,161.83412342382627,168.31713181148916,133.28173460673543,135.35711631891184,0.1272432590589606
38,160.77580525359983,167.53950587368578,132.14038632174143,135.6837829983425,0.12782723242256938
39,159.54271893013888,165.99412396532085,130.82053944473378,136.73457239133944,0.12843234608757736
40,158.3210600844832,162.68951651070503,130.63433731743248,137.91408313461588,0.1290029893790686
