frame,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,left_wrist_dist
1,168.91031024098177,177.30168425767422,140.2015261797975,149.1633709118681,0.1277978986012028
2,166.70299851082646,176.12578853675836,140.53985611574376,147.53606139438418,0.12761897130601518
3,165.40718649334227,175.14550438614165,140.59442909830128,145.7517325168066,0.127404632049204
4,165.17565496026518,174.47887175453215,140.34631225500058,143.53650588743744,0.12711050290625656
5,165.4791944744721,173.93986936668318,139.8705827933516,141.95028934792754,0.1269306619183968
6,165.99119623753367,173.8587528735109,139.0130808834417,140.96830728073868,0.12710339828831876
7,166.57878892419635,173.83404770921342,138.14303407729022,140.3039518032587,0.1276968311039957
8,167.39343859234333,173.74851014302845,137.53729504990434,139.6235383549628,0.12815766363510234
9,168.1685051563118,173.60440265722002,137.38927355546267,139.80429579467707,0.12846576140609015
10,168.73120881164704,173.4153077486376,137.4940112682647,141.17045273937282,0.12869513711444064
11,169.05678065051308,173.26067242982833,137.7749055307965,142.68654368509425,0.12900109482483862
12,169.24245635124998,173.24495920565292,138.0966363685358,143.70849065652902,0.12910902873808625
13,169.1970661236492,173.2739275808844,138.60129732262868,144.02142365531446,0.12895807979045307
14,169.0646759647081,173.3746128547952,139.2386330886221,143.7397895888672,0.12853013339373773
15,168.94029190444428,173.56817809196568,140.1594500238462,143.50770097568315,0.12800340231896354
16,168.8924052066743,173.82160215038897,141.07231517135517,144.10313524141387,0.1275232581623891
17,168.8996743842888,174.0135497450236,141.87512248311884,145.23953221608588,0.12710400654332585
18,168.92084907485193,174.1112598831766,142.26280843517304,146.09737346414315,0.1269025016806931
19,168.9804666618684,174.23476896464697,142.47039398178686,146.310074973287,0.12676887493670108
20,169.077421895901,174.38052024856316,142.5416161558287,146.20517796197896,0.12673006533550485
21,169.16419277208098,174.4065677508926,142.67475995875057,145.8411692722764,0.12668329182251953
22,169.2038508967889,174.17864269325358,142.78233082931473,144.89493975705008,0.12666128108072316
23,169.22497928983876,173.82194111787666,142.84935666713673,143.69632776011068,0.12662187231295488
24,169.15791211004426,173.30624909187503,142.73848621533546,142.359151434527,0.12659281065070122
25,168.94549376202963,172.66341956185857,142.39668835566832,140.78915668260927,0.12649431510482825
26,168.60869614700636,171.67484253237953,141.60633873927878,138.88297979718695,0.12643899284466315
27,168.29448833650326,170.53740179738153,140.3556990878882,137.00845388314556,0.12638011950343697
28,167.87941999278837,169.65364940912983,139.27555821296573,135.7852847994849,0.12638839148054398
29,167.17775323506987,169.3573614033531,138.7786984139896,135.3641558589971,0.12653501105097156
30,166.029949882855,169.06066873231302,138.84225525573186,135.7058819968056,0.12684109536881455
31,164.30762412251178,168.37067171553053,139.03281816989292,136.51471782688748,0.12725724231166177
32,162.46661380849073,167.6261986360256,139.04796994841107,137.42530246375895,0.12765951000712586
33,161.29256789240492,167.25034211917261,138.32925223211114,137.6953323551304,0.1278414031929033
34,160.76771132110764,167.1229251414542,136.95453553099173,136.99329977218702,0.12803144183505905
35,159.9908562998383,166.71570898311197,135.7196022766128,136.43143386264222,0.1285662833745759
36,158.52147497652626,165.36268605728372,134.52549623136116,136.37888199792928,0.12951929734194884
37,156.9621379489466,162.72269934309398,134.05653137842168,136.73112355325128,0.12988619871523985
38,154.7996831626142,156.86370156813746,135.02723406979615,137.0512431644538,0.12983269318308047
39,153.25290419349935,147.42179433501036,136.99880635622466,137.39280229526545,0.1300453012052979
40,152.91990580868688,138.93354082348958,137.22234858068876,136.7463617828969,0.13058536699489479
41,154.02947466492398,134.06810015880228,139.1027974869725,136.93090377609974,0.13120844987430844
42,154.5417335991601,130.55146720011103,143.10767992014496,136.83905411207272,0.13202432472746636
43,153.8632517511834,127.35582160146919,147.1393610771073,137.09296587478534,0.13333650925227153
44,152.6478838523762,127.7140396965076,148.12819113434196,136.6288620086012,0.1353705051275131
45,151.43919358199216,131.1830775568309,149.85351508907002,138.17298921742923,0.13869054321816104
46,150.78488146133455,138.21256212885115,151.533585537631,141.89442823716692,0.14219241587051945
47,150.0959790754217,147.49117527928462,151.51617741790446,147.45768709444414,0.14452015886349265
48,149.78038395720122,158.12357271347435,150.24415403110578,150.23690075101567,0.14483613808883697
49,149.86714920018716,166.88258474586178,148.9454543370322,150.74942006803988,0.14445460819762931
50,151.10989543597947,174.1930245187584,149.59014796419177,151.35246961473175,0.14577176396091107
51,154.51724558800993,179.9880239166803,150.94094427833602,149.26828802174128,0.1496430282608381
52,158.41328334165235,176.96499502651176,152.1867421640228,147.98303662429726,0.1534995957611724
53,159.5333074431958,176.72203460624988,152.4461605764684,149.91125417098797,0.15576341458986262
54,157.09470467326548,178.91504360660832,152.3570110648544,153.64470875751678,0.15627256619558047
55,152.85171133291246,179.94231897470772,152.19876883864862,152.88261138772552,0.15691792020965348
56,148.86833923927745,179.87064135576773,152.01154668998277,150.82758977040822,0.15734953073028507
57,148.18927666110469,179.194308398264,153.1943755483322,150.32004116499883,0.15768734573218127
58,151.18655502448055,177.56551386317196,153.84340071166255,147.47372754040313,0.15666167258557928
59,153.2136337203829,175.42884386062906,154.00653965692524,147.87838292002783,0.15566512765823748
60,152.36708444732093,173.80217953458546,153.55815364452766,150.5141752040214,0.1546788379343847
61,152.02463035587704,171.2581019376923,153.94099536225372,155.93230961471716,0.15357768658765095
62,154.14722635135485,169.24389951445525,155.01660263321185,156.2088487888234,0.15206994729777545
63,155.3315171727643,167.69394242130136,156.3789817913213,158.20459856583904,0.15043094073111785
64,155.9636558746995,166.58584570383664,156.37423075549032,160.25251873299538,0.14883025792227128
65,157.24622045941564,165.58598446287476,155.69049227601496,163.50798902199236,0.14697051793228563
66,158.15399758239653,165.84979479433753,154.85278367602848,163.7215196533401,0.14469714089835017
67,157.99661653529478,166.51262677724804,154.92540889025918,163.62778364336512,0.1424865146506484
68,156.78136454458388,166.81220174266323,154.45679376751684,159.25972452553833,0.1401098626217862
69,155.51256899227755,165.21878387906295,153.71323485529993,155.9523872069631,0.13788595597508055
70,153.48073741034617,165.09218601459034,151.7270608532307,149.08726140363555,0.13479723750229744
71,149.3799947084985,165.96306054879983,149.47578682660318,147.50385901193684,0.1336023174381823
72,143.30851992752125,167.47813265234174,146.58272204578114,148.51779572463914,0.13249770272078157
73,136.52567049211794,167.43421076380577,144.49366602157963,152.0726196766566,0.13070431926192172
74,128.71888202574928,168.38701658330302,144.6324777115194,150.9057329773175,0.12739442033574952
75,116.97614039477641,173.2312490350094,147.01596331720827,148.8875379606961,0.1253552162434062
76,114.51243288557518,162.39649350836447,149.9873368127645,148.5875657111722,0.12403080943585074
77,116.95681769228133,151.7548466360555,152.22056537663258,148.37626725127672,0.12284455559740484
78,118.67460635121826,149.51595696075677,152.05446831837764,147.73413509034185,0.1218532433289019
79,112.23690559524194,158.34160249809804,149.52610340789866,145.97808025145446,0.12112352796093134
80,114.20202285962583,156.3955667518124,146.61905788068012,143.22758804506677,0.12076394056321811
81,118.27290506123192,151.01841652611753,143.98677342024632,140.0667195101861,0.12050042867232777
82,125.38187955786513,151.27382508319246,141.55407085267873,137.86492119218312,0.12036993600859569
83,130.29551532578992,157.28356336599583,139.28170394504087,137.42956701330357,0.12040691245291178
84,138.33827902845871,164.40183334316515,137.3133338394844,137.41313097512582,0.12051081663231791
85,147.74989264967815,167.64080817015758,136.52578996068908,136.73788569461598,0.12064974590645627
86,157.7755352719618,169.3575025343952,137.38657116348028,135.39062596998576,0.12090101416954957
87,165.22479174043542,170.15584158134027,138.30405349544824,133.9708795130958,0.12106566611749135
88,172.49449161351342,170.78106287754306,139.00788424263635,133.0775374571219,0.12089625428888937
89,175.64859822093854,170.04919585800593,139.9260470156318,131.7973385932133,0.12112457455363758
90,175.53252086954816,169.4814584932322,141.21723817144098,131.34449247497162,0.1213585560380469
91,175.0010606425324,169.70639716117836,142.0375319074613,132.33518229347254,0.12139206904532283
92,173.46093093511593,171.14960240310558,142.4224798380374,134.14583819204483,0.12106991668866234
93,171.01435415402798,173.18540901594557,142.36373920442045,135.3656964952276,0.12114506939567311
94,169.77444553852519,174.82983086190308,141.8347967876945,134.73578476281162,0.12152269821826522
95,168.28090919918097,176.95532590553287,141.56574087805035,133.05112532752744,0.12203944331196816
96,165.77882198446383,179.28898031125075,140.6073198787149,130.89055458567424,0.12248290181965496
97,162.85654452622583,179.54036880259946,139.42555257952597,130.10190476737975,0.12269081969181019
98,164.49448867829145,175.86069742017114,136.3227952428071,130.95078139132627,0.12284434541603521
99,167.16251502211875,170.8806221765043,133.47864549779484,133.2102683282572,0.12372273651201961
100,166.9474199816723,168.19556600876084,131.33745159136,136.179983927253,0.12551125987815862
101,164.9952547807737,166.81462524311803,132.80480558664635,139.06505025201005,0.12757694487664065
102,163.05534969377382,165.74278464611382,137.38789318774633,142.7626433661901,0.1298084166808112
103,161.55464615335063,162.7189627332355,144.65236616349165,146.413850721284,0.13245871566740489
104,165.32170680376188,148.8397748559816,152.427143026258,153.22014670201892,0.13681392524315028
105,174.49829916577818,132.4514810331288,158.22351626799662,164.47744304070255,0.14117636836975297
106,177.96409109754583,122.96395133237972,161.2530020821384,173.11664380369393,0.14538286621016472
107,177.92167766951104,122.32269047532374,161.38659338839915,177.87672553126114,0.14924759246201214
108,179.0403775184734,122.753309378059,159.9614362072538,168.99945675817943,0.15261886667375765
109,174.16499756107402,126.06130673502412,157.96789720488192,160.59319239085042,0.15398147565448353
110,170.83503754764723,132.33226127305738,157.79781103426055,156.96789031275824,0.15537818421251232
